Crop_Type,Soil_Type,Farm_Size_Acres,Soil_pH,Soil_Nitrogen,Soil_Organic_Matter,Temperature,Rainfall,Humidity
Rice,Black soils,19.702471786935845,6.732192964983069,94.31502728678144,1.8047610628825972,25.34230509395983,1071.028938789469,49.01368810614082
Millets,Black soils,9.998991245980234,6.908792318790194,79.97092833476005,4.841161119770069,15.157338941682111,1429.1465063095682,57.67145882672861
Millets,Black soils,56.055438607234095,7.108793848768226,146.57479731799438,0.660939591201656,21.64969513451524,1136.4153920454537,84.95182994078503
Jwar,Red and Yellow soils,93.41890695894644,6.990686336514615,66.52751674980897,3.203871479768681,26.874097837726843,1403.503150264669,27.445767354072785
Wheat,Black soils,67.5427200063083,5.99092571179515,119.42716626680048,0.9846526449149692,17.867580286722163,1408.7665502942675,87.75715761061316
Wheat,Alluvial soils,23.613427226361647,6.795476867628823,100.25171048873632,0.7281527526905873,24.632720334266523,767.4696433622508,33.255799285123985
Pea,Black soils,60.61327630651897,6.193950446849504,71.88729840163472,3.3834428136844004,26.545988064852423,524.986550678425,62.58573641829134
Arhar,Red and Yellow soils,12.917913512687354,6.233026254756892,189.44505008728183,3.349274820212887,30.752297779023763,726.3058475493131,62.19816978851677
Wheat,Laterite soils,64.75028822825513,7.480935412227956,138.40749695102002,0.7068428588271207,22.414766665911365,1242.1072291887083,47.29373701494799
Pea,Laterite soils,37.95291147089761,6.566157301230971,155.92154634208538,1.0961422182962492,23.17998800207144,1146.3310488161528,82.52515642873612
Masoor,Red and Yellow soils,84.52316916652465,6.162338802978423,136.06206737070266,3.720799011587236,25.95551612949355,1354.0919708777656,77.42880869146983
Urd,Black soils,51.7161895619711,7.073200664144434,88.32886693982603,4.943730431288947,23.534463385456515,781.7564510440532,35.1458620675391
Niger,Black soils,79.15440148273004,7.14835470836991,100.26632262653196,3.829577699412654,19.571275556187462,1141.300533870481,56.04036797539246
Gram,Black soils,11.892103056156188,6.677812861787137,87.85163037000572,1.7551345813009422,28.064786179993444,1202.4847522047835,31.926827166772632
Til,Laterite soils,27.952506100676658,5.971265004324144,184.98476915011892,3.1055690811497327,28.69291837155611,1096.766834374646,57.24937930364771
Gram,Black soils,28.413267284352827,5.701882378112782,194.45355038425615,3.877779222676238,18.023104867137143,1253.43891185172,20.577896645994112
Gram,Alluvial soils,79.26862073639087,5.832489456973296,169.83024901214273,4.126874099803565,21.101119925416597,1313.690849399359,79.91852194078355
Kulthi,Laterite soils,59.65209863825101,5.830544987636314,166.95059259280893,3.4647793010746843,19.24164036690283,829.4002743803992,23.353843654060217
Mustard,Black soils,14.837394448255951,6.7931807498805945,81.70501054270814,2.4137210445288364,19.328016189130004,1168.216136121817,69.66918445625038
Kulthi,Alluvial soils,10.528807740534836,6.092841234536407,171.5656756787046,2.803598694718596,19.205829445839065,651.5559511415813,36.879628787113845
Rice,Red and Yellow soils,29.287411428012344,5.664554269917478,130.32719816778555,0.9064784998563148,19.70674393187051,989.8519197948648,20.31422239096845
Groundnut,Red and Yellow soils,87.07645253725087,7.34096562544369,113.07593644794484,2.3225046472158226,22.006091187115672,1089.4319456103776,38.65094705592284
Niger,Laterite soils,47.15283278539785,7.369483573482759,175.25369675782105,2.032218432810596,22.273825203240243,708.1451965972477,76.13109732100966
Groundnut,Black soils,84.14609769473014,7.497595177307655,149.4939750219528,3.471647113010394,17.844791971128902,701.9903683481529,84.66008695215226
Tiwra,Black soils,25.399527094113004,6.687547600115411,93.11529469071864,3.711687019167551,31.91788438503052,845.6271568537348,21.418126494868595
Masoor,Alluvial soils,21.876906220127864,6.853151535341985,187.43499098905295,3.3953005804777403,18.853469732282967,773.3588890355106,48.25466219934815
Niger,Alluvial soils,86.33975389687166,7.307035941115772,189.91431927443043,3.5875370509404783,25.309738388544517,1186.4516925706105,46.77795936668475
Masoor,Laterite soils,65.5453976783731,5.8580883458954185,186.68806861700716,2.1375172864218666,17.564885946718604,740.921589780851,23.01073170624592
summer paddy,Black soils,77.48011589309684,6.296705584625338,66.61351366986383,1.1877237897980728,34.15232745804936,676.3191054935359,85.30338915126416
Urd,Red and Yellow soils,2.5490844762645315,7.25300066028937,66.06238044113567,4.52649135195636,33.2293330971274,1046.8654977103845,34.034218482243936
Mustard,Red and Yellow soils,7.373113467988922,5.883056871286152,198.55831480000663,4.752252370042949,20.872910468652695,1337.1426726975062,29.805207039689726
Jwar,Red and Yellow soils,42.48037484571287,7.406838743722471,51.1562150544006,4.657357517050594,27.88156870646628,1414.3604773669258,54.76765357121271
Groundnut,Red and Yellow soils,8.709136366330267,5.8652504401266565,92.04694146785396,3.0067506506626724,34.51067449133542,1341.887332460704,36.18776357278928
Masoor,Laterite soils,46.03857210794702,5.627527324930757,62.79324136329656,4.4280167903088925,30.618608147441595,1130.636265967388,66.97789799688317
Jwar,Laterite soils,83.11521733640478,5.90066542743079,135.05875811788147,2.826652317689744,25.832165317676758,1177.2753031712268,63.80857099531175
Arhar,Red and Yellow soils,71.54786374121856,7.305393769498201,195.5413575000901,4.393984947614191,17.603670352771232,1003.3302048413764,49.84145284897448
Groundnut,Red and Yellow soils,77.64297850226998,5.930379108794454,146.66698802647227,2.968096160786948,19.84134365735184,1208.0418249637466,49.50090126836703
Masoor,Alluvial soils,42.58620428836526,7.033955807350836,168.82688863593617,2.080715595392059,17.07303828295796,1053.5769297456611,78.35876646585066
Kulthi,Alluvial soils,16.494282008965193,7.2030834086958055,50.03135590075605,4.69094387697176,29.57608192778264,904.0974185413272,79.26671141820438
Jwar,Alluvial soils,93.969049183815,6.570167221375637,83.89046853013258,1.8300016425041368,25.756400234132315,1330.1123763823114,86.18200268215568
Gram,Black soils,43.903327920986655,6.875625040902392,153.1401018257682,2.190934023980345,26.443436296386988,978.4402248019449,81.069311498335
Tiwra,Black soils,99.55937720921736,7.028906783086532,151.74632974165988,4.404495243654003,33.59422467132964,983.829261657784,44.71428385707512
Niger,Black soils,10.628167369697708,5.993761045393347,117.30279708937366,0.8927185882483573,30.156264476734314,978.8034164878864,72.75145680267558
Soybean,Alluvial soils,7.017335694310938,5.693170713723107,84.6544316506879,2.542502752181068,24.07433506151405,863.9656537046501,25.858179744751105
Pea,Black soils,19.518626766611654,5.530950895260078,150.36717268136678,1.6370274083670695,30.413634704568203,998.791386266701,53.03770783569052
Arhar,Alluvial soils,57.32803334236286,6.96670241172008,178.80845618528306,2.3443978045744327,28.617466420561488,629.2065213029189,83.59611498800176
Pea,Laterite soils,86.12529571965065,5.9333820346914345,65.74792040384469,1.4305217882726928,25.22539070041436,794.3039685588715,87.28181503229452
Jwar,Alluvial soils,50.62203994116239,6.957443774834045,174.47803764734448,2.875104731595876,30.889973016952784,1194.0787497242718,23.582518669684312
Rice,Laterite soils,40.11976174126604,7.094759138199555,87.35504672387694,3.622285247610474,34.6647125634622,944.5946812446498,35.8468447334445
Urd,Laterite soils,8.903275589724469,6.530595318737199,82.58468117048952,4.9298022468774585,15.780332934485616,548.1435699004035,51.60761911543538
Maize,Red and Yellow soils,14.670282003598896,7.145888222419841,145.2237209636172,3.542209632070604,33.7383373999969,1383.1613467436737,72.60035705163892
Pea,Red and Yellow soils,77.1904149781785,6.20908762601341,159.6942075375746,3.61915464017993,25.461659616565527,1072.0489031787104,61.48731335672456
Urd,Alluvial soils,78.18380125721443,7.478592963822301,173.21163602993298,3.55343334057751,23.72304404529496,1461.3183924121654,78.30644327303861
Urd,Black soils,93.62985781154492,7.159343625474939,77.08466390420435,2.3340884523537224,23.95303633484207,695.6438513421697,78.22595010889572
Millets,Red and Yellow soils,81.63628884492262,5.84152643290764,56.051503667874414,2.8957182173798226,26.36286592350405,882.4304560965686,44.24052147707302
